indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),Milk Solid Sweet,38.73,11.48,5.81,0.85,0,147,31.2,59.3,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),Retort Grade: 19µm AlOx-PLA / 15µm Bio-PBS / 60µm High-Temp Cast PLA Sealant,98,0.9,0.51,Hermetic Impulse Heat Seal (Liquid Tight),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Hot Fill De-aeration / Syrup Headspace Exclusion,Schedule I (Canned & Preserved Foods) & Tin Leaching Ban (<250 mg/kg),"IS/ISO 17088, IS 9845 (Simulant A)",Simulant A (Distilled water at 95°C hot fill); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Retortable Compostable / BioPBS™ High Thermal Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12.72,1.84,6.54,0.55,0,161,34.4,61.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,67,66.4,1.65,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.54,33.67,5.92,0.22,0,163,40.2,64.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,70,1,0.43,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Basmati Rice (Aged),Grains & Flours,A005,11.52,0.48,6.5,0.56,0,580,22.1,58.6,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,90,166.9,3.66,Stitched Top / Heat Sealed Inner Liner,Heavy Duty Drop Resistance (>50 kg drop test),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Fresh Malai Paneer,Dairy Products,B005,53.95,24.95,5.96,0.98,0,17,2.9,90.9,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled,High-Barrier Certified Compostable Vacuum Film (Cellulose/AlOx-PLA/Bio-PBS),Triplex: 25µm NatureFlex Cellulose / 15µm AlOx Bio-barrier / 40µm Bio-PBS Food-Contact Sealant,81,2.8,1.52,Hermetic Vacuum Chamber Heat Seal (95-115°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"40% CO2, 60% N2 (suppresses coliforms, yeasts & molds)",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845, IS 16620",Simulant B (3% Acetic Acid) & Simulant C (15% Alcohol); OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ FD92 (PTT MCC) / TIPA 302 Compostable Laminate,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Basmati Rice (Aged),Grains & Flours,A005,11.33,0.66,6.53,0.56,0,519,24.9,67.6,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,92,154.2,3.13,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.74,12.07,6.15,0.25,0,97,35.5,82.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,50,19.5,1.64,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,10.52,21.65,6.32,0.68,0,42,31.4,50.7,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,26,79,5.12,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Crush Resistant Rigid Box (IS 2771),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.9,0.43,5.26,0.35,0,246,34.1,46.5,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,89,0.5,0.56,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,High Drop & Puncture Resistance (>50 kgf),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,D001,81.88,0.39,4.17,0.98,26.4,23,11.9,85.6,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled / Ambient Controlled,Molded Sugarcane Bagasse Punnet with Laser Micro-perforated NatureFlex™ Lidding,Base: 400gsm Heavy-duty Sugarcane Bagasse / Lid: 25µm Micro-perforated Cellulosic Film,45,5664.9,35.02,Ventilated Lid Heat Seal / Bio-Elastomer Band,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3-5% O2, 5-8% CO2, balance N2 (delays climacteric ethylene peak)",Cl. 3(4) & Prohibition of Calcium Carbide / Ethylene chemical contamination,"IS/ISO 17088, IS 2771, IS 9845",Agro-residue pulp; Zero PFAS fluorochemicals; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka (Chuk!) Bagasse Trays + NatureFlex™ NK,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,8.55,4.34,6.19,0.45,0,349,29.8,49.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,88,0.8,0.55,Heat Seal with Resealable Bio-Zipper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Dahi (Indian Curd),Dairy Products,Fermented Milk,85.94,4.34,4.2,0.99,0,17,4.8,80.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,365,3.1,1.48,Thermal Conductive Peel Seal (105-120°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.73,0.47,5.22,0.35,0,267,23.3,65.7,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,96,1.1,0.78,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,High Drop & Puncture Resistance (>50 kgf),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.74,11.95,6.11,0.25,0,98,25.5,56.4,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,67,18.8,1.15,Hermetic Vacuum Strip Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),Milk Solid Sweet,38.27,11.49,5.73,0.85,0,193,31.1,53.7,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),Retort Grade: 19µm AlOx-PLA / 15µm Bio-PBS / 60µm High-Temp Cast PLA Sealant,113,0.7,0.51,Hermetic Impulse Heat Seal (Liquid Tight),High Hydrostatic Pressure & Burst Resistant (>180 kPa),No,Hot Fill De-aeration / Syrup Headspace Exclusion,Schedule I (Canned & Preserved Foods) & Tin Leaching Ban (<250 mg/kg),"IS/ISO 17088, IS 9845 (Simulant A)",Simulant A (Distilled water at 95°C hot fill); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Retortable Compostable / BioPBS™ High Thermal Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.82,5.44,6.28,0.54,0,123,21.9,61.5,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,96,139.6,4.76,Heat Sealed Bottom / Ultrasonic Pinch Top,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,8.75,4.43,6.23,0.45,0,274,23.6,62.7,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,90,0.8,0.49,Heat Seal with Resealable Bio-Zipper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Bikaneri Bhujia,Indian Snacks & Namkeen,Moth Bean Fried Snack,1.46,34.7,5.86,0.22,0,172,29.2,50.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,Duplex: 23µm Metallized NatureFlex NKME / 30µm Puncture-Resistant Bio-PBS Sealant,51,1.9,0.75,Fin/Lap Heat Seal with High Hot Tack (100-115°C),Puncture Resistant against Sharp Fried Gram Strands,Yes,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),"Cl. 4(5) & Schedule I (Fried and Namkeen Foods, Acid Value < 2.0)","IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D (Refined Edible Oil); Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME (Futamura) + BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,52.37,4.57,6.11,0.92,0,118,30.6,67.5,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,113,0.9,1.26,Hermetic Ultrasonic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Nashik Red Onions,Fresh Horticultural Produce,E015,86.77,0.11,5.61,0.95,7.4,63,29.1,67.9,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient Ventilated,Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),Open Mesh Netting: 250 Denier Compostable Bio-Filament,162,23701.6,286.17,Ultrasonic Heat Staple / Stitched Bio-Ribbon,Heavy Load High Tensile Strength (>25 kgf),No,Free Aeration (prevents neck rot),Cl. 3(1) Clean Agricultural Packaging,"IS/ISO 17088, IS 9845",Simulant A; Non-toxic compostable netting,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® Netting / Ecovio® Extruded Mesh,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,D001,81.86,0.38,4.22,0.98,27.1,19,12.4,85.8,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled / Ambient Controlled,Molded Sugarcane Bagasse Punnet with Laser Micro-perforated NatureFlex™ Lidding,Base: 400gsm Heavy-duty Sugarcane Bagasse / Lid: 25µm Micro-perforated Cellulosic Film,39,6413.2,34.99,Ventilated Lid Heat Seal / Bio-Elastomer Band,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3-5% O2, 5-8% CO2, balance N2 (delays climacteric ethylene peak)",Cl. 3(4) & Prohibition of Calcium Carbide / Ethylene chemical contamination,"IS/ISO 17088, IS 2771, IS 9845",Agro-residue pulp; Zero PFAS fluorochemicals; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka (Chuk!) Bagasse Trays + NatureFlex™ NK,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.14,1.54,6.4,0.52,0,353,32.2,40.3,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,65,128.8,3.77,Continuous Band Heat Seal (110-125°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,30.74,25.87,6.2,0.88,0,21,5.3,84.2,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,75,2.8,3.21,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Roasted Urad Dal Papad,Indian Snacks & Namkeen,Black Gram Papad,12,1.86,6.52,0.55,0,182,24.1,58.8,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Moisture-Barrier NatureFlex / PLA Hermetic Pouch,Duplex: 25µm NatureFlex NK / 30µm Ingeo PLA Sealant Layer,69,84.6,2.66,Continuous Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Moisture & Insect Protection,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK / Bio-Flex®,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.49,0.48,5.19,0.35,0,355,28.3,67.4,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,101,0.9,0.47,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Basmati Rice (Aged),Grains & Flours,A005,12.06,0.61,6.49,0.56,0,470,33.4,50.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,106,215.5,5.46,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Green Chillies (Hari Mirch),Fresh Horticultural Produce,E006,85.18,0.52,5.38,0.98,52.3,16,7.8,93.4,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,Monolayer: 25µm Blown PBAT/PLA with Natural Bio-Wax Anti-Fog Additive,39,8335.8,35.52,Continuous Heat Seal with Gas Vents,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",Cl. 3(2) Clean Produce Packaging,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NVS,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Besan Ladoo,Traditional Sweets (Mithai),Bengal Gram Sweet,5.17,24.97,6.21,0.42,0,81,32.5,43.1,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,Duplex: 50gsm FSC Greaseproof Kraft / 20µm Sealable NatureFlex Bio-film,78,31.5,3.94,Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Flush (residual O2 < 1.0%),FSSAI Mandatory Mithai Display & Cl. 4(5),"IS 6615, IS/ISO 17088",Simulant D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NK,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Basmati Rice (Aged),Grains & Flours,A005,11.9,0.59,6.48,0.56,0,513,31.2,64.9,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,104,98.4,3.83,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.58,5.53,6.31,0.54,0,165,22,59.7,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,88,165.8,5.59,Heat Sealed Bottom / Ultrasonic Pinch Top,High Burst Resistance,No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
