commodity_name,commodity_category,initial_moisture_pct,initial_fat_pct,initial_ph,water_activity_aw,preservative_type,packaging_material_tested,actual_film_thickness_microns,actual_film_otr_cc_m2_day_atm,actual_film_wvtr_g_m2_day,storage_condition,storage_temperature_c,storage_rh_pct,headspace_gas_regime,measured_shelf_life_days,primary_failure_mode,kinetic_reaction_order,critical_endpoint_value,fssai_safety_compliance,empirical_research_citation
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.56,1.81,6.31,0.58,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,46,7086.2,59.38,"Storage at 32.0°C, 63.9% RH",32,63.9,Air Headspace (No MAP),37,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 37,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Kaju Katli,Traditional Sweets (Mithai),11.72,21.36,6.29,0.68,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,30,59,4.69,"Storage at 23.0°C, 49.6% RH",23,49.6,100% N2 Flushing (prevents fungal mold & silver vark blackening),39,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 39,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Besan (Gram Flour),Grains & Flours,10.7,5.29,6.3,0.54,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,83,186.3,3.87,"Storage at 32.1°C, 68.9% RH",32.1,68.9,Ambient Air,87,Lipase-induced Acidity & Clumping,Enzymatic free fatty acid release,Reached critical spoilage limit on Day 87,Compliant across specified shelf life,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Roasted Urad Dal Papad,Indian Snacks & Namkeen,12.37,1.65,6.5,0.55,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,44,1765.7,22.16,"Storage at 32.7°C, 53.0% RH",32.7,53,Air Headspace (No MAP),48,Mold Growth (Aspergillus) & Loss of Crisp Frying Quality,Equilibrium moisture absorption kinetics,Reached critical spoilage limit on Day 48,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Fresh Malai Paneer,Dairy Products,53.94,24.64,5.89,0.98,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,48,123.5,15.19,"Storage at 7.0°C, 90.4% RH",7,90.4,Air Headspace (No MAP),3,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 3,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,12.34,1.85,6.45,0.55,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Moisture-Barrier NatureFlex / PLA Hermetic Pouch,42,108.7,4.42,"Storage at 27.4°C, 49.8% RH",27.4,49.8,Ambient Air,78,Mold Growth (Aspergillus) & Loss of Crisp Frying Quality,Equilibrium moisture absorption kinetics,Reached critical spoilage limit on Day 78,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),51.75,4.29,6.12,0.92,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,75,119.3,31.92,"Storage at 29.8°C, 52.4% RH",29.8,52.4,Air Headspace (No MAP),20,Syrup Turbidity & Yeast Spoilage,Osmophilic microbial growth kinetics,Reached critical spoilage limit on Day 20,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Basmati Rice (Aged),Grains & Flours,11.59,0.54,6.51,0.56,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Woven Jute Bag with Internal Compostable PLA/PBAT Liner,73,372.3,5.35,"Storage at 25.4°C, 61.4% RH",25.4,61.4,Ambient Air,420,Aroma (2-acetyl-1-pyrroline) Volatilization & Sitophilus oryzae Weevil,Volatile aroma loss diffusion kinetics,Reached critical spoilage limit on Day 420,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Fresh Malai Paneer,Dairy Products,54.23,24.62,5.91,0.98,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,31,144.4,14.02,"Storage at 7.4°C, 91.5% RH",7.4,91.5,Air Headspace (No MAP),4,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 4,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,12.29,1.82,6.51,0.55,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,60,5875.3,111.91,"Storage at 20.5°C, 51.9% RH",20.5,51.9,Air Headspace (No MAP),27,Mold Growth (Aspergillus) & Loss of Crisp Frying Quality,Equilibrium moisture absorption kinetics,Reached critical spoilage limit on Day 27,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Fresh Okra (Bhindi),Fresh Horticultural Produce,89.4,0.21,6.09,0.99,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,30,343290.3,335.35,"Storage at 11.6°C, 94.0% RH",11.6,94,Air Headspace (No MAP),3,Weight Loss (>8% causes pod flaccidity) & Ridge Blackening,Transpiration water vapor flux kinetics,Reached critical spoilage limit on Day 3,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,2.17,32.71,5.77,0.24,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Barrier Metallized Cellulosic Laminate with N2 Flush,66,1.4,1,"Storage at 26.8°C, 62.2% RH",26.8,62.2,100% N2 Flush (prevents coconut oil rancidity),122,Coconut Oil Hydrolytic Rancidity (Free Fatty Acids > 1.0%) & Soggy Texture,Lipid auto-oxidation kinetics,Reached critical spoilage limit on Day 122,Compliant across specified shelf life,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Ground Turmeric (Haldi Powder),Spices & Condiments,8.98,4.53,6.28,0.45,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,39,33.6,4.24,"Storage at 39.3°C, 59.7% RH",39.3,59.7,Air Headspace (No MAP),73,Photo-bleaching of Curcumin Pigment (Curcumin loss > 15%),First-order photodegradation kinetics,Reached critical spoilage limit on Day 73,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,0.08,99.81,6.5,0.2,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,230,4.3,1.06,"Storage at 27.6°C, 49.5% RH",27.6,49.5,Nitrogen Headspace Sparging (residual O2 < 0.5%),113,Oxidative Peroxide Formation & Allyl Isothiocyanate Pungency Loss,First-order allylic autoxidation,Reached critical spoilage limit on Day 113,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,0.09,99.82,6.47,0.2,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,320,1,1.47,"Storage at 32.0°C, 61.0% RH",32,61,Nitrogen Headspace Sparging (residual O2 < 0.5%),193,Oxidative Peroxide Formation & Allyl Isothiocyanate Pungency Loss,First-order allylic autoxidation,Reached critical spoilage limit on Day 193,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.28,1.79,6.34,0.58,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,60,343.1,9.37,"Storage at 29.9°C, 66.4% RH",29.9,66.4,Ambient Air (controlled moisture ingress),100,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 100,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,0.12,99.79,6.51,0.2,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,308,1.6,0.62,"Storage at 29.6°C, 48.4% RH",29.6,48.4,Nitrogen Headspace Sparging (residual O2 < 0.5%),183,Oxidative Peroxide Formation & Allyl Isothiocyanate Pungency Loss,First-order allylic autoxidation,Reached critical spoilage limit on Day 183,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,71.99,5.74,5.8,0.99,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Compostable High-Barrier Vacuum Shrink Film (Cellulose/AlOx-PLA/Bio-PBS),86,2.3,1.69,"Storage at 0.6°C, 87.4% RH",0.6,87.4,"70-80% O2, 20-30% CO2 (preserves bright red oxymyoglobin bloom)",11,Aerobic Plate Count Exceeding 10^6 cfu/g & Metmyoglobin Brown Discoloration,First-order microbial proliferation,Reached critical spoilage limit on Day 11,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,71.92,6.13,5.75,0.99,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Compostable High-Barrier Vacuum Shrink Film (Cellulose/AlOx-PLA/Bio-PBS),79,3.3,1.31,"Storage at 1.4°C, 87.7% RH",1.4,87.7,"70-80% O2, 20-30% CO2 (preserves bright red oxymyoglobin bloom)",7,Aerobic Plate Count Exceeding 10^6 cfu/g & Metmyoglobin Brown Discoloration,First-order microbial proliferation,Reached critical spoilage limit on Day 7,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Kaju Katli,Traditional Sweets (Mithai),10.85,21.29,6.28,0.68,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,42,2601.6,34.58,"Storage at 27.8°C, 45.4% RH",27.8,45.4,Air Headspace (No MAP),6,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 6,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,47.93,22.1,3.3,0.78,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,34,41.3,7.5,"Storage at 35.2°C, 57.3% RH",35.2,57.3,Air Headspace (No MAP),78,Oxidative Darkening & Microbial Surface Scum,Non-enzymatic browning kinetics,Reached critical spoilage limit on Day 78,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Nashik Red Onions,Fresh Horticultural Produce,87.15,0.1,5.59,0.95,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),244,27602.5,191.61,"Storage at 27.9°C, 74.2% RH",27.9,74.2,Free Aeration (prevents neck rot),45,"Sprouting, Root Growth & Aspergillus niger (Black Mold)",Dormancy break temperature-humidity trigger,Reached critical spoilage limit on Day 45,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Desi Cow Ghee,Dairy Fats,0.19,99.38,6.37,0.25,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,31,46.9,6.83,"Storage at 40.6°C, 71.8% RH",40.6,71.8,Air Headspace (No MAP),48,Oxidative Rancidity (Peroxide Value exceeding 5.0 meq O2/kg),First-order autoxidation kinetics,Reached critical spoilage limit on Day 48,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,85.51,0.6,5.39,0.98,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,15,14280.9,72.65,"Storage at 7.6°C, 90.7% RH",7.6,90.7,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",12,"Calyx Rot, Pungency Loss & Red Color Senescence",Chlorophyllase enzymatic breakdown,Reached critical spoilage limit on Day 12,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,0.1,99.82,6.52,0.2,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,46,51.6,10.7,"Storage at 41.9°C, 66.0% RH",41.9,66,Air Headspace (No MAP),49,Oxidative Peroxide Formation & Allyl Isothiocyanate Pungency Loss,First-order allylic autoxidation,Reached critical spoilage limit on Day 49,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.42,1.75,6.3,0.58,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,89,195.8,6.07,"Storage at 24.8°C, 71.8% RH",24.8,71.8,Ambient Air (controlled moisture ingress),98,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 98,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,2.13,32.56,5.76,0.24,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,35,47.9,5.01,"Storage at 38.0°C, 91.8% RH",38,91.8,Air Headspace (No MAP),24,Coconut Oil Hydrolytic Rancidity (Free Fatty Acids > 1.0%) & Soggy Texture,Lipid auto-oxidation kinetics,Reached critical spoilage limit on Day 24,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Basmati Rice (Aged),Grains & Flours,11.69,0.61,6.5,0.56,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,70,16694.6,128.09,"Storage at 26.5°C, 49.1% RH",26.5,49.1,Air Headspace (No MAP),56,Aroma (2-acetyl-1-pyrroline) Volatilization & Sitophilus oryzae Weevil,Volatile aroma loss diffusion kinetics,Reached critical spoilage limit on Day 56,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,30.25,25.72,6.24,0.88,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,86,538.3,132.46,"Storage at 2.5°C, 84.5% RH",2.5,84.5,Air Headspace (No MAP),1,Mold Growth (Penicillium) & Free Fatty Acid Hydrolysis,Moisture gain exponential microbial trigger,Reached critical spoilage limit on Day 1,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Bikaneri Bhujia,Indian Snacks & Namkeen,1.46,34.43,5.91,0.22,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,65,1.4,0.9,"Storage at 35.4°C, 59.1% RH",35.4,59.1,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),176,Loss of Crispness (Moisture > 4.0%) & Oxidative Rancidity (PV > 10 meq/kg),GAB moisture sorption model,Reached critical spoilage limit on Day 176,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Ground Turmeric (Haldi Powder),Spices & Condiments,8.95,4.38,6.24,0.45,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,87,78.2,16.27,"Storage at 26.3°C, 67.1% RH",26.3,67.1,Air Headspace (No MAP),39,Photo-bleaching of Curcumin Pigment (Curcumin loss > 15%),First-order photodegradation kinetics,Reached critical spoilage limit on Day 39,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Fresh Malai Paneer,Dairy Products,53.79,24.15,5.92,0.98,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Barrier Certified Compostable Vacuum Film (Cellulose/AlOx-PLA/Bio-PBS),79,4.2,2.87,"Storage at 2.3°C, 87.6% RH",2.3,87.6,"40% CO2, 60% N2 (suppresses coliforms, yeasts & molds)",17,Microbial Proliferation (Yeast & Mold > 100 cfu/g FSSAI limit),First-order microbial growth,Reached critical spoilage limit on Day 17,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Rao et al., CSIR-CFTRI Dairy Studies"
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,0.11,99.91,6.48,0.2,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,50,48.5,6.82,"Storage at 42.5°C, 50.7% RH",42.5,50.7,Air Headspace (No MAP),41,Oxidative Peroxide Formation & Allyl Isothiocyanate Pungency Loss,First-order allylic autoxidation,Reached critical spoilage limit on Day 41,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,12.66,1.42,6.53,0.55,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,40,2787.8,19.48,"Storage at 33.0°C, 62.5% RH",33,62.5,Air Headspace (No MAP),43,Mold Growth (Aspergillus) & Loss of Crisp Frying Quality,Equilibrium moisture absorption kinetics,Reached critical spoilage limit on Day 43,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Green Chillies (Hari Mirch),Fresh Horticultural Produce,85.61,0.58,5.43,0.98,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,29,7731,32.9,"Storage at 7.3°C, 90.0% RH",7.3,90,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",18,"Calyx Rot, Pungency Loss & Red Color Senescence",Chlorophyllase enzymatic breakdown,Reached critical spoilage limit on Day 18,Compliant across specified shelf life,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Freshwater Fish (Rohu Steaks),Fish & Seafood,75.99,2.79,6.45,0.99,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,60,209.3,58.03,"Storage at 1.9°C, 90.9% RH",1.9,90.9,Air Headspace (No MAP),1,Total Volatile Base Nitrogen (TVB-N > 20 mg/100g) & Trimethylamine Odor,Bacterial enzymic proteolysis kinetics,Reached critical spoilage limit on Day 1,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Bindu et al., ICAR-CIFT Cochin"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,31.37,26.45,6.2,0.88,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,48,127.7,22.13,"Storage at 5.8°C, 87.0% RH",5.8,87,Air Headspace (No MAP),3,Mold Growth (Penicillium) & Free Fatty Acid Hydrolysis,Moisture gain exponential microbial trigger,Reached critical spoilage limit on Day 3,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Gujarati Khakhra,Indian Snacks & Namkeen,2.87,12,6.12,0.25,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,82,2592.9,59.37,"Storage at 31.6°C, 69.4% RH",31.6,69.4,Air Headspace (No MAP),13,Loss of Brittleness & Soft Texture (Moisture threshold 5.2%),Zero-order water vapor diffusion,Reached critical spoilage limit on Day 13,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,29.37,25.45,6.2,0.88,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Cellulose/Bio-PBS High Barrier Vacuum Pouch,53,8.9,3.56,"Storage at 5.0°C, 85.4% RH",5,85.4,"Vacuum Sealed or 30% CO2, 70% N2",11,Mold Growth (Penicillium) & Free Fatty Acid Hydrolysis,Moisture gain exponential microbial trigger,Reached critical spoilage limit on Day 11,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,1.84,31.24,5.81,0.24,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,89,115.4,43.72,"Storage at 29.0°C, 64.2% RH",29,64.2,Air Headspace (No MAP),13,Coconut Oil Hydrolytic Rancidity (Free Fatty Acids > 1.0%) & Soggy Texture,Lipid auto-oxidation kinetics,Reached critical spoilage limit on Day 13,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,0.1,99.72,6.48,0.2,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,307,1.8,1.33,"Storage at 36.4°C, 48.2% RH",36.4,48.2,Nitrogen Headspace Sparging (residual O2 < 0.5%),268,Oxidative Peroxide Formation & Allyl Isothiocyanate Pungency Loss,First-order allylic autoxidation,Reached critical spoilage limit on Day 268,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Gujarati Khakhra,Indian Snacks & Namkeen,2.8,12.37,6.08,0.25,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,65,22.2,0.97,"Storage at 35.4°C, 69.8% RH",35.4,69.8,Vacuum Sealed / Nitrogen Flushed,129,Loss of Brittleness & Soft Texture (Moisture threshold 5.2%),Zero-order water vapor diffusion,Reached critical spoilage limit on Day 129,Compliant across specified shelf life,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),37.89,11.53,5.79,0.85,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),64,1.3,1.78,"Storage at 22.1°C, 74.2% RH",22.1,74.2,Hot Fill De-aeration / Syrup Headspace Exclusion,155,Osmophilic Yeast Fermentation & Acid Sourness,Thermal destruction D-value kinetics,Reached critical spoilage limit on Day 155,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Dahi (Indian Curd),Dairy Products,85.92,4.06,4.2,0.99,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,65,761.9,72.08,"Storage at 5.8°C, 81.2% RH",5.8,81.2,Air Headspace (No MAP),3,Synaeresis (Whey Separation > 8%) & Hyper-acidity (pH < 3.8),Lactic acid fermentation kinetics,Reached critical spoilage limit on Day 3,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Basmati Rice (Aged),Grains & Flours,12.05,0.59,6.51,0.56,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,32,6386.1,34.96,"Storage at 36.3°C, 53.5% RH",36.3,53.5,Air Headspace (No MAP),106,Aroma (2-acetyl-1-pyrroline) Volatilization & Sitophilus oryzae Weevil,Volatile aroma loss diffusion kinetics,Reached critical spoilage limit on Day 106,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,1.98,32.25,5.82,0.24,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,88,202,47.85,"Storage at 36.2°C, 76.9% RH",36.2,76.9,Air Headspace (No MAP),14,Coconut Oil Hydrolytic Rancidity (Free Fatty Acids > 1.0%) & Soggy Texture,Lipid auto-oxidation kinetics,Reached critical spoilage limit on Day 14,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
